ID,Initial,MostCommonName,ScientificName,Type,Description,CommonName1,CommonName2,CommonName3,CommonName4,Leaves1,Leaves2,Leaves3,Leaves4,Bark1,Bark2,Bark3,Bark4,Flowers1,Flowers2,Flowers3,Flowers4,Fruits1,Fruits2,Fruits3,Fruits4,Link1,Link2,Location,Map
71,S,Sitaphal,Annona squamosa,Deciduous,"Annona squamosa is a small, well-branched tree or shrub from the family Annonaceae that bears edible fruits called sugar-apples or sweetsops.It reaches a height of 3 to 6 metres.It is native to the tropical Americas and widely grown for its fragrant, juicy, and flavorful fruit.Sugar-apple is grown in lowland tropical climates worldwide, including in southern Mexico, the Antilles, and Central and South America, tropical Africa, Australia, Indonesia, Polynesia, and, in the U.S., in Hawaii and Florida.",Sugar Apple,Custard Apple,Sweet Sop,Sharifa,"Thin, simple, alternate",5 to17cm long and 2 to 6cm wide,Rounded at the base and pointed at the tip,Pale green on both surfaces,Light brown bark,Inner bark light yellow and slightly bitter,Smooth bark,,In short lateral clusters of 2-4 about 2.5 centimetres long,"Greenish,yellow flowers",Ovary light green in colour,"Petioles 0.6-1.3 cm long, green, sparsely pubescent",Round shaped greenish yellow fruit,"5 to 10 cm in diameter, 100 to 600 gms in weight",The pulp is white tinged yellow edible and sweetly aromatic,Contains 15 to 30 black colour seeds ,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/9BcJFcn_iOc?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=9BcJFcn_iOc&index=12&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Inside most of the mostels, inside NSS nursery","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1oY9h-c8d7At-MTwjPuuiL-7XqSdpmPXa"" width=""640"" height=""480""></iframe>"
72,S,Star Gooseberry,Phyllanthus acidus,Deciduous,"Star Gooseberry is a small deciduous tree reaching about 2 to 9 m in height. It is found throughout Asia and also in the Caribbean region, Central and South America but its origin is uncertain.The tree is occasionally cultivated as a garden plant in tropical areas for its fruit and as an ornamental use. It bears flowers and fruit mostly in January to May. Its fruit is used to make juice, pickles etc.",Malay Gooseberry,Star Gooseberry,Starberry,West India Gooseberry,"Obliquely ovate, acute or somewhat acuminate ",Base rounded or somewhat wedge-shaped,"Peppered ,2-7.5 cm long and thin","Pinnate, 20-40 cm long","Rough, grey in colour",With prominent lenticels,"In India, it is used as a tanning agent",,"Small, pink, in dense",Male flowers:filaments and anthers free,Occurs in short dense spike like clusters in 5 to 2.5 cm long panicles,Cushion-shaped cymules at the nodes of leafless branches,"Pendulous, in small clusters from the branches","Round,oblate or slightly flattened at the poles",Greenish yellow to creamy-white,Rich in vitamin C,,,Inside NSS nursery,
73,S,Subabul,Leucaena leucocephala,Evergreen,"Subabul is a small, variably shrubby and highly branched to medium-sized, fast-growing mimosoid tree native to southern Mexico and northern Central America.During the 1970s and 1980s, it was called  as a 'miracle tree' for its multiple uses.It has also been described as a 'conflict tree' because it is used for forage production but spreads like a weed in some places. It can grow upto 20m tall in arid tropical climates and can become a pest species in such climates.",White Leadtree,Jumbay,River Tamarind,White Popinac,"6-9 pairs of pinnae, looks same as of tamarind","Leaflets 9-16 mm long, 2-4.5 mm wide",Linear-oblong to weakly elliptic,"Acute at tip, rounded to obtuse at base","Smooth, grey-brown on young branches",Deep red inner bark on older branches,Having  rusty orange-brown vertical fissures,,White flowers or pale cream-white,Having long flattened pods,Flower heads 12-21 mm in diameter,100-180 flowers per head,Linear-oblong pods,Rounded at apex and flat,"Contains 8 to 18 dark,brown seeds","Orange brown in colour, papery","<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/ph9keVsXZQ0?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=ph9keVsXZQ0&index=8&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Lakeside road, beside LHC(Eastside), near T point","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1hhIiALwRly-A2zOZrbgXZG8lhtnC6jVD"" width=""640"" height=""480""></iframe>"
74,S,Supari,Areca catechu,Evergreen," A palm tree which produces popular betel-nut or supari, which is an essential ingradient of paan. It is a medium-sized tree growing to 20 m tall, with solitary, slender and erect trunk 20-30 cm in diameter and a crown of 10-20 leaves. It grows in much of the tropical Pacific, Asia, and parts of east Africa. The palm is believed to have originated in the Philippines,but is widespread cultivatied in southern China, Taiwan, India, Bangladesh, the Maldives, Ceylon, Cambodia, Laos, Thailand, Vietnam, Malaysia and Indonesia.",Betel Palm,Chamarpushpa,Areca Nut palm,Indian Nut,The leaves are 1.5 to 2 m long,"Pinnate, with numerous crowded leaflets",Fan shaped leaves,"Broad leaflets, the tips being jagged",Brownish grey near bottom,Green near top,"Smooth ,layered",,"Creamy-white, fragrant",Female flowers 1.2 to 2 cm long,Have six tepals,Flower are stalkless,Orange when ripe,About 5 cm long,Hardened supari is 1 to 2 cm in diameter,"Has fibrous husk, Contain single seed",,,"Inside H2, H4, beside Gulmohar cafetaria(Westside)","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1J-fzOwivaR7tw4DsZ1tYeBdNFu68lEPl"" width=""640"" height=""480""></iframe>"
75,S,Suru,Casuarina equisetifolia,Evergreen,"An evergreen tree with long needle-like branches and cone-like fruits, native to South Pacific to India.The species name equisetifolia refers to the resemblence of the leaves to a horse’s tail. The soft singing of the air through its innumerable slender twigs is a pleasant sound, which lends it the common name Whistling Pine.It grows 7-35 m tall. It is also found in  Southern United States and West Africa.It can produce tremendous numbers of small, winged seeds, which are dispersed by wind and water.The wood of this tree is used for shingles, fencing, and is said to make excellent hot-burning firewood.",Whistling Pine tree,Beach Oak,Ironwood,Horsetail She Oak,"Made up of tiny scales, six to eight in whorls",Whorls encircle joints of branchlets,Toothlike leaves,7 to 8 per nodes,Brownish grey in colour,"Brittle, Rough",Furrowed and flaking into oblong pieces on older trees, 5 to 12 mm thick,Brownish red Flowers,Male flowers 0.7 to 4 cm long,Male flowers occur in terminal spikes,"Female flowers are in small, axillary clusters",Spherical fruits 0.5 in diameter,They look like pinecones,Contains 70 to 90 seeds,Made up of winged nutlets each containing one seed,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/xKFK-lhzNkk?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=xKFK-lhzNkk&index=10&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Inside H9, H2, behind Gulmohar cafetaria(Eastside)",
76,T,Taad,Borassus flabellifer,Evergreen,"An evergreen single-stemmed tall tree which attains maximum height of about 30 metres. It is native to South and Southeast Asia but can be found in Bangladesh, Cambodia, India, Jawa, Laos, Malaya, Myanmar, Socotra, Sri Lanka, Sulawesi, Thailand, and Vietnam.Worldwide, it is known for its fruit and tall height. People usually use its fruit to make Taddy(a drink) which is useful to fulfil their thirst during the summer.",Tala Palm," Palmyra Palm, ",Ice Apple,Wine Palm,Fan-shaped,Upto 3 meter long,Divided into 60-80 linear- lanceolate leaflets,Their stacks are 1 to 1.2m long,Brown in colour,"Round shaped, rough",Trunk 8-12 cm in diameter,Charcoal made of the bark serves as a dentifrice,Yellowish white,Less than 1 cm long ,Forms semi circular Clusturs,Dioecious with male and female flowers occur on seperate plants,10 to 18 cm in diameter,"Has a black husk, and is borne in clusters",Contains jelly like part ,Sweet in taste,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/Ue14fkF_RnI?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=Ue14fkF_RnI&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=2,"Present all over the institute, Especially from Campus hub to Main gate road","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1VO0NghX0ymFg0PU9GI-xFDvxd_uW4qSv"" width=""640"" height=""480""></iframe>"
77,T,Tamarind,Tamarindus indica,Deciduous,"Tamarind (Tamarindus indica) is a semi-evergreen tree with large alternately arranged and pinnately compound leaves. It is a long-lived, medium-growth tree.It may reach a height of 10 to 20 m. It prefers to grow in clay, loam, sandy, and acidic soil types, with a high resistance to drought. India is native country for this species, but it can be found in Colombia, Cuba, Dominican Republic, Mexico, Peru, Puerto Rico, Venezuela, Italy, Spain, and throughout the Lusosphere where it is known as 'tamarindo'.",Imli,Tamarindo,Chinch,Puli,The leaves are about 3-8 cm  long ,Contains 10-18 pairs of leaflets,Bright green elliptic leaflets,Leaflets close at night,Brown in colour,"Rough,layered, fissured",Has wound healing property,,Small yellow flowers,Generally appear in rainy season,Have five unequal lobes and borne in small drooping clusters.,can be eaten and sour in taste,Pod like fruit which contain an edible pulp,Brown in colour,"Sour in taste, huge source of citric taste",Each pod contain 4 to 10 seeds.,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/aNYbTecs1xc?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=aNYbTecs1xc&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Near H6, Lakeside road","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1Cc1YII-TMuUIss5wXWXpzkaGxVzBOonh"" width=""640"" height=""480""></iframe>"
78,T,Teak,Tectona grandis,Deciduous,"It is a tall growing deciduous tree generally occurs in forests. It grows upto 40 m tall.  It is sometimes known as the 'Burmese teak'. It is native to south and southeast Asia, mainly India, Sri Lanka, Indonesia, Malaysia, Thailand, Myanmar and Bangladesh but nowdays, it is cultivated in many countries in Africa and the Caribbean too. Myanmar's teak forests account for nearly half of the world's naturally occurring teak.It is specially known for its finest quality wood Hence used to make different type of furnitures. From November to January, the tree is leafless.",Sagun,Sagwan,Chingsoo,Sinhala,Large Ovate-elliptical sized papery leaves,30-60 cm long and 15-30 cm broad,They are held on robust petioles which are 2 to 4cm long.,,White-brown in colour ,"Rough,layered fibre cluster structure ","Having shallow, longitudinal fissures",,Small flowers white in colour,About 6 mm cross,Entomophilous flowers(insect pollinated),Appear in Mansoon,"Pale green at first, then brown at maturity","Spongy,may contain 0-4 seeds",Usually ripen in winter,Enclosed in the persistent calyx,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/jfXZR3DxT80?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=jfXZR3DxT80&index=6&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Near H15, beside Convo hall(Eastside)","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1ldxEj9vFzaKi08XxcdbB2ZSt6j5GdnwF"" width=""640"" height=""480""></iframe>"
79,U,Umbar,Ficus glomerata/Ficus racemosa,Evergreen,"An evergreen tree but can be found deciduous near dry areas.The tree is native to Australia, Malaysia, Indo-China and the Indian subcontinent. The tree is 20 m tall and has irregularly-shaped, with wide-spreading branches and without aerial roots from the branches. In India, the tree and its fruit are called as 'gular' .It serves as a food plant for the caterpillars which helps them to grow and eventually they turn into butterflies.",Cluster Fig tree,Udumbara,Indian Fig Tree,Goolar Fig Tree,"simple, alternate, , lanceolate",Elliptical having 8-10 lateral pairs of vein,Stipules 12-18 mm long,Used in treatment of Diarrhea,"Yellowish-brown,smooth stipules ",8-10 mm thick bark ,Its bark has healing power hence used to heal wounds.,,Unisexual flowers,Not visible from outside,Bloom inside the ensemble of fruits,Pollinated by specialized fig wasp,Initially Green in colour,Turns Red once rippen,Red from inside,Ripe fruit is heavier to digest,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/2Hdaan5oE3c?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=2Hdaan5oE3c&index=4&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Near H9, T point, lakeside road, N2 bay, near Main gate","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1npmqbiOSqbxJFrQ8V2cVX2bKw68NpQ5D"" width=""640"" height=""480""></iframe>"
80,V,Vilayati Chinch,Pithecolobium dulce,Evergreen,"An evergreen tree which usually grows in tropical climate. It grows upto 20 meter, and is part of Fabaceae family. It has short trunk, up to 1m thick .While tree appears evergreen, the leaflets are deciduous and shed in succession. It is useful against the treatment of fever and constipation. It is also used in treatment against cold. Its oil meal, pods and leaves are useful livestock feeds",Manila Tamarind,Madras Thorn,Foreign Tamarind,Monkeypod,Bi-pinnate Leaves,Each pinnate consist of a pair of leaflets,They are 2-4 cm in length,Deciduous which shed in succession,Greyish brown in colour,"Short, stout",Exfoliates in large brown flakes,,Greenish white flowers having fragrance,Flowers are borne in small spherical glomerules,8 to 12 cm long flowers,They form short axilary panicles 5-30 cm in length,Flowers produces pods which turn pink once rippen,Pod opens to expose an edible pulp ,Sweet in taste,Pulp contain black shiny circular seed,"<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/ANzjZ6JpNDk?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=ANzjZ6JpNDk&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&index=5,"Near Hospital, beside NSS nursery, entrance of LHC, behind CRESIT(Southside)","<iframe src=""https://www.google.com/maps/d/u/0/embed?mid=1Tit_3PSLrjz983-0DcvtjoOfJJ3dS7e1"" width=""640"" height=""480""></iframe>"
81,W,Wild Almond,Sterculia foetida,Deciduous,"Sterculia foetida is a large, straight, deciduous tree growing to 40 m in height and 3 m in girth, with the branches arranged in whorls and spreading horizontally. Each branch contain 7-8 leaves. As tree keeps on growing, old branches sheds and new branch appears on the top.Its fruit is red in colour after ripe and is nutricious to health.The fruit is ripe nealy in February-March. ",Bastard Poon Tree,Java Olive Tree,Hazel Sterculia,Wild Indian Almond,7-9 leaflets in a leaf,Elliptical in shape,"100 to 170mm long, and shortly petioluled",Generally appear in March and April,Greyish brown in colour,Rough with many scales,Shallowly fissured,,"Green, orange coloured flowers",Generally appear in March,"Unisexual, with male and female flowers on separate trees",Occur in panicles and 10-15 cm long,Initially Green in colour,Turns Red once rippen,Composed of 1 to 5 ellipsoid folllicles,"Contains 10-15 oblong, slate-grey seeds","<iframe width=""854"" height=""480"" src=""https://www.youtube.com/embed/3vuuEw9-jl0?list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj&amp;ecver=1"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>",https://www.youtube.com/watch?v=3vuuEw9-jl0&index=3&list=PL7jZaz9RpobeLA6ZE5e-Is4HoLkADcdbj,"Inside most of the hostels, academic area, beside NSS nursery",
